decision,time,solved,pendingOrders,stationsWithCap,podsInModel,Ra,R,Pb,Pa,xps,yos,yaos,yrp,sumUs,dops,objective,solveSec
261,2579.37777777661,1,99,1,94,1,6,5,89,6,26,2,1,0,1,-1006,0.0545003
262,2603.19999999873,1,3,1,91,1,3,2,29,2,0,0,0,1,0,1000,0.0040452
263,2615.55555555423,1,3,1,92,1,3,2,30,2,0,0,0,2,0,2000,0.0029957
264,2619.55555555421,1,3,1,92,2,4,2,30,4,1,1,2,1,2,1002,0.006155
265,2619.59999999866,1,2,1,92,0,4,4,27,4,0,0,0,1,0,1000,0.0029652
266,2629.64444444306,1,99,2,98,1,10,9,89,10,29,2,1,0,1,-1141,0.1523255
267,2635.68888888748,1,2,1,92,0,4,4,27,4,0,0,0,1,0,1000,0.0020005
268,2649.77777777631,1,100,2,98,0,9,9,89,9,23,2,0,0,0,-920,0.0059986
269,2659.86666666515,1,97,1,95,1,6,5,90,6,22,1,1,0,1,-872,0.0664376
270,2665.86666666513,1,2,1,92,0,3,3,27,3,0,0,0,1,0,1000,0.0030048
271,2685.99999999837,1,100,1,94,1,4,3,91,4,9,2,1,0,1,-335,0.0496056
272,2690.0444444428,1,2,1,95,0,5,5,27,5,0,0,0,1,0,1000,0.0030021
273,2700.13333333164,1,97,1,96,1,6,5,91,6,21,2,1,0,1,-810,0.0565548
274,2726.22222222042,1,2,1,93,0,3,3,27,3,0,0,0,1,0,1000,0.0030055
275,2740.35555555369,1,100,2,99,2,9,7,92,9,25,2,2,0,2,-978,0.6382668
276,2756.39999999807,1,2,1,94,1,4,3,27,3,0,0,0,1,0,1000,0.0030001
277,2770.53333333134,1,100,2,100,2,10,8,92,10,30,2,2,0,2,-1144,0.4482183
278,2786.57777777572,1,2,1,94,0,4,4,27,4,0,0,0,1,0,1000,0.0030024
279,2806.71111110896,1,100,1,94,0,4,4,90,4,12,2,0,0,0,-480,0.006647
280,2816.79999999781,1,2,1,94,0,4,4,27,4,0,0,0,1,0,1000,0.0032214
281,2830.84444444219,1,100,2,99,0,9,9,90,9,23,2,0,0,0,-920,0.0059998
282,2861.02222221984,1,96,1,95,1,5,4,91,5,17,1,1,0,1,-632,0.0690537
283,2867.06666666426,1,2,1,94,1,4,3,26,3,0,0,0,1,0,1000,0.0029465
284,2881.15555555308,1,100,2,99,2,10,8,91,10,26,2,2,0,2,-1003,0.4150772
285,2887.1999999975,1,2,1,93,0,4,4,26,4,0,0,0,1,0,1000,0.003513
286,2901.28888888633,1,99,2,97,0,8,8,89,8,23,2,0,0,0,-920,0.0089035
287,2911.37777777518,1,100,1,95,1,6,5,90,6,20,1,1,0,1,-764,0.0690066
288,2917.37777777515,1,2,1,93,1,4,3,26,3,0,0,0,1,0,1000,0.0030005
289,2951.59999999722,1,100,2,99,2,9,7,92,9,26,2,2,0,2,-978,0.5363295
290,2967.6444444416,1,2,1,93,1,3,2,27,2,0,0,0,1,0,1000,0.0029998
291,2971.73333333047,1,100,2,99,1,9,8,91,9,24,2,1,0,1,-931,0.1458427
