decision,time,solved,pendingOrders,stationsWithCap,podsPa,podsPb,botsRa,lambda,mu,delta,epsilon,valuedLines,boundLines,valuedOrders,boundOrders,newTrips,boundUnits,objective,solveSec,qmax,rho,unitsFromSunk,unitsFromNew,inboundCoverUnits
125,1321.86666666722,1,93,1,89,2,5,12.3463687150838,20.8490566037736,0.0841956726246472,0.0123463687150838,17,1,14,1,1,1,-68.2593710489427,0.0879713,0,8.59922178988327,1,0,12
126,1322.71111111166,1,92,1,88,3,5,12.2777777777778,20.6542056074766,0.0839944003733085,0.0122777777777778,12,1,3,1,0,2,-64.9019075228934,0.0945857,0,8.56589147286822,2,0,14
127,1331.91111111167,1,92,1,88,2,5,12.2909990791897,20.791316199377,0.0839907192575406,0.0122909990791897,26,2,21,1,2,2,-68.0993648671654,0.084001,0,8.58946267696271,1,1,12
128,1342.75555555612,1,92,1,87,3,4,12.2776440118397,20.8037856867284,0.0839064649243466,0.0122776440118397,17,2,7,1,1,3,-58.897551239655,0.0845504,0,8.57560631361325,2,1,12
129,1351.95555555613,1,89,1,86,3,3,12.2731981981983,21.0235339506174,0.0841674249317561,0.0122731981981983,18,2,15,1,0,3,-95.5409980444618,0.0745452,0,8.63323827629916,3,0,24
130,1362.80000000058,1,92,1,86,4,3,12.3654857397505,21.2141819571867,0.0843862815884477,0.0123654857397505,14,2,6,1,0,2,-76.1355718576778,0.0781126,0,8.69302944862162,2,0,14
131,1372.00000000059,1,90,1,87,3,3,12.3384477880659,21.1996966540404,0.0847533632286996,0.0123384477880659,23,2,17,1,1,3,-89.3557183385455,0.0785597,0,8.73395742301291,2,1,21
132,1382.04444444504,1,89,1,85,4,2,12.2977530541013,21.1609984984986,0.0847758544163338,0.0122977530541013,21,1,16,1,0,2,-81.2435234301529,0.0826364,0,8.73186183395295,2,0,29
133,1402.84444444506,1,93,1,89,2,3,12.5917785694767,21.5859061191029,0.0844327176781003,0.0125917785694767,5,2,3,0,0,4,-69.1848129713631,0.0780629,0,8.82343607788148,4,0,7
134,1412.88888888951,1,94,1,89,2,4,12.5929788524564,21.8128383694334,0.0851250548486178,0.0125929788524564,13,1,8,1,1,1,-40.2798798252308,0.0886153,0,8.85158658469762,1,0,3
135,1432.08888888953,1,93,1,89,3,5,12.7125169159545,21.9375291912488,0.0850785340314136,0.0127125169159545,28,2,22,1,2,3,-94.6010822226973,0.1005594,0,8.88509246814021,2,1,27
136,1442.93333333398,1,94,1,88,2,4,12.7212739164636,21.9832540486257,0.0849137931034483,0.0127212739164636,13,1,7,1,1,1,-38.8798776114177,0.1165891,0,8.88684738135933,1,0,2
137,1462.133333334,1,94,1,89,4,4,12.9086106239868,22.2252600308642,0.0848692670381483,0.0129086106239868,27,2,22,1,1,3,-101.080887263761,0.1440425,0,8.96808738087504,3,0,30
138,1472.97777777845,1,94,1,91,2,4,12.802690779321,22.0736047919328,0.0847457627118644,0.012802690779321,12,1,7,1,1,1,-38.0476768488235,0.1004585,0,8.89075748563958,1,0,1
139,1492.17777777846,1,95,1,93,3,5,12.9263888888889,22.3983117816092,0.0847386172006745,0.0129263888888889,19,1,16,1,1,2,-87.3942140359139,0.1237097,0,8.92853665521193,2,0,21
140,1512.22222222292,1,96,1,92,3,5,12.9759587764332,22.4029373746967,0.0844834797156002,0.0129759587764332,18,1,16,1,1,2,-86.2018057775788,0.1237041,0,8.88523278928647,2,0,19
141,1513.02222222292,1,94,1,92,1,5,12.9166083021651,22.2209447910128,0.0842673308426733,0.0129166083021651,11,1,6,1,1,1,-26.5390996721895,0.3066396,0,8.85834961263348,0,1,0
142,1523.06666666738,1,94,1,91,2,5,12.9506814003699,22.2011681149198,0.084297520661157,0.0129506814003699,10,1,5,1,0,2,-52.4891575858813,0.0844842,0,8.86556713313914,2,0,13
143,1532.26666666738,1,95,1,90,3,5,13.0752529546824,22.3368904642491,0.0843621399176955,0.0130752529546824,16,1,15,1,1,2,-82.2948456413927,0.0955558,0,8.96463831341102,2,0,17
144,1533.11111111183,1,93,1,90,2,5,13.0330602015884,22.1885157151009,0.0842191332788226,0.0130330602015884,15,1,8,1,1,2,-49.6953874510566,0.0931308,0,8.94936800509069,2,0,11
145,1543.15555555628,1,92,1,90,2,5,13.0948683425777,22.2183421878163,0.0841121495327103,0.0130948683425777,14,1,7,1,1,1,-46.8579883354064,0.1048929,0,8.9756216785218,1,0,9
