decision,time,botID,podNull,podID,inUsedPodsValues,inBotToPodKey,currentTaskType,destWaypointNull,isRa,podJustRegisteredCount
22,196.844444444465,13,True,-1,False,False,RestTask,True,True,-1
22,196.844444444465,14,True,-1,False,False,RestTask,True,True,-1
22,196.844444444465,7,True,-1,False,False,RestTask,True,True,-1
23,216.888888888913,1,False,31,True,False,ExtractTask,True,False,3
23,216.888888888913,10,True,-1,False,False,RestTask,True,True,-1
23,216.888888888913,11,True,-1,False,False,RestTask,True,True,-1
23,216.888888888913,3,False,46,True,False,ExtractTask,True,False,2
23,216.888888888913,5,False,58,True,False,ExtractTask,True,False,3
23,216.888888888913,4,True,-1,False,False,RestTask,True,True,-1
23,216.888888888913,12,False,27,True,False,ExtractTask,True,False,2
23,216.888888888913,13,True,-1,False,False,RestTask,True,True,-1
23,216.888888888913,14,True,-1,False,False,RestTask,True,True,-1
23,216.888888888913,7,True,-1,False,False,RestTask,True,True,-1
24,223.111111111136,1,False,31,True,False,ExtractTask,True,False,3
24,223.111111111136,10,True,-1,False,False,RestTask,True,True,-1
24,223.111111111136,11,True,-1,False,False,RestTask,True,True,-1
24,223.111111111136,3,False,46,True,False,ExtractTask,True,False,2
24,223.111111111136,5,False,58,True,False,ExtractTask,True,False,3
24,223.111111111136,4,True,-1,False,False,RestTask,True,True,-1
24,223.111111111136,12,False,27,True,False,ExtractTask,True,False,2
24,223.111111111136,13,True,-1,False,False,RestTask,True,True,-1
24,223.111111111136,14,True,-1,False,False,RestTask,True,True,-1
24,223.111111111136,7,True,-1,False,False,RestTask,True,True,-1
25,236.93333333336,1,False,31,True,False,ExtractTask,True,False,2
25,236.93333333336,10,True,-1,False,False,RestTask,True,True,-1
25,236.93333333336,11,True,-1,False,False,RestTask,True,True,-1
25,236.93333333336,3,False,46,True,False,ExtractTask,True,False,2
25,236.93333333336,5,False,58,True,False,ExtractTask,True,False,3
25,236.93333333336,4,True,-1,False,False,RestTask,True,True,-1
25,236.93333333336,12,False,27,True,False,ExtractTask,True,False,2
25,236.93333333336,13,True,-1,False,False,RestTask,True,True,-1
25,236.93333333336,14,True,-1,False,False,RestTask,True,True,-1
25,236.93333333336,7,True,-1,False,False,RestTask,True,True,-1
26,243.155555555583,1,False,31,True,False,ExtractTask,True,False,2
26,243.155555555583,10,True,-1,False,False,RestTask,True,True,-1
26,243.155555555583,11,True,-1,False,False,RestTask,True,True,-1
26,243.155555555583,3,False,46,True,False,ExtractTask,True,False,2
26,243.155555555583,5,False,58,True,False,ExtractTask,True,False,3
26,243.155555555583,4,True,-1,False,False,RestTask,True,True,-1
26,243.155555555583,12,False,27,True,False,ExtractTask,True,False,2
26,243.155555555583,13,True,-1,False,False,RestTask,True,True,-1
26,243.155555555583,14,True,-1,False,False,RestTask,True,True,-1
26,243.155555555583,7,True,-1,False,False,RestTask,True,True,-1
27,263.244444444471,1,False,31,True,False,ExtractTask,True,False,2
27,263.244444444471,10,True,-1,False,False,RestTask,True,True,-1
27,263.244444444471,11,True,-1,False,False,RestTask,True,True,-1
27,263.244444444471,3,False,46,True,False,ExtractTask,True,False,2
27,263.244444444471,5,False,58,True,False,ExtractTask,True,False,3
27,263.244444444471,4,True,-1,False,False,RestTask,True,True,-1
27,263.244444444471,12,False,27,True,False,ExtractTask,True,False,2
27,263.244444444471,13,True,-1,False,False,RestTask,True,True,-1
27,263.244444444471,14,True,-1,False,False,RestTask,True,True,-1
27,263.244444444471,7,True,-1,False,False,RestTask,True,True,-1
28,283.377777777794,1,False,31,True,False,ExtractTask,True,False,2
28,283.377777777794,10,True,-1,False,False,RestTask,True,True,-1
28,283.377777777794,11,True,-1,False,False,RestTask,True,True,-1
28,283.377777777794,3,False,46,True,False,ExtractTask,True,False,2
28,283.377777777794,5,False,58,True,False,ExtractTask,True,False,3
28,283.377777777794,4,True,-1,False,False,RestTask,True,True,-1
28,283.377777777794,12,False,27,True,False,ExtractTask,True,False,2
28,283.377777777794,13,True,-1,False,False,RestTask,True,True,-1
28,283.377777777794,14,True,-1,False,False,RestTask,True,True,-1
28,283.377777777794,7,True,-1,False,False,RestTask,True,True,-1
29,287.111111111126,1,False,31,True,False,ParkPodTask,False,False,2
29,287.111111111126,10,True,-1,False,False,RestTask,True,True,-1
29,287.111111111126,11,True,-1,False,False,RestTask,True,True,-1
29,287.111111111126,3,False,46,True,False,ExtractTask,True,False,2
29,287.111111111126,5,False,58,True,False,ExtractTask,True,False,3
29,287.111111111126,4,True,-1,False,False,RestTask,True,True,-1
29,287.111111111126,12,False,27,True,False,ExtractTask,True,False,2
29,287.111111111126,13,True,-1,False,False,RestTask,True,True,-1
29,287.111111111126,14,True,-1,False,False,RestTask,True,True,-1
29,287.111111111126,7,True,-1,False,False,RestTask,True,True,-1
30,293.466666666678,1,False,31,True,False,ParkPodTask,False,False,2
30,293.466666666678,10,True,-1,False,False,RestTask,True,True,-1
30,293.466666666678,11,True,-1,False,False,RestTask,True,True,-1
30,293.466666666678,3,False,46,True,False,ExtractTask,True,False,2
30,293.466666666678,5,False,58,True,False,ExtractTask,True,False,3
30,293.466666666678,4,True,-1,False,False,RestTask,True,True,-1
30,293.466666666678,12,False,27,True,False,ExtractTask,True,False,1
30,293.466666666678,13,True,-1,False,False,RestTask,True,True,-1
30,293.466666666678,14,True,-1,False,False,RestTask,True,True,-1
30,293.466666666678,7,True,-1,False,False,RestTask,True,True,-1
31,297.20000000001,1,True,-1,False,False,ParkPodTask,True,True,-1
31,297.20000000001,10,True,-1,False,False,RestTask,True,True,-1
31,297.20000000001,11,True,-1,False,False,RestTask,True,True,-1
31,297.20000000001,3,False,46,True,False,ExtractTask,True,False,2
31,297.20000000001,5,False,58,True,False,ExtractTask,True,False,3
31,297.20000000001,4,True,-1,False,False,RestTask,True,True,-1
31,297.20000000001,12,False,27,True,False,ExtractTask,True,False,1
31,297.20000000001,13,True,-1,False,False,RestTask,True,True,-1
31,297.20000000001,14,True,-1,False,False,RestTask,True,True,-1
31,297.20000000001,7,True,-1,False,False,RestTask,True,True,-1
32,303.555555555562,1,True,-1,False,False,RestTask,False,True,-1
32,303.555555555562,10,True,-1,False,False,RestTask,True,True,-1
32,303.555555555562,11,True,-1,False,False,RestTask,True,True,-1
32,303.555555555562,3,False,46,True,False,ExtractTask,True,False,2
32,303.555555555562,5,False,58,True,False,ExtractTask,False,False,3
32,303.555555555562,4,True,-1,False,False,RestTask,True,True,-1
32,303.555555555562,12,False,27,True,False,ParkPodTask,False,False,0
32,303.555555555562,13,True,-1,False,False,RestTask,True,True,-1
32,303.555555555562,14,True,-1,False,False,RestTask,True,True,-1
32,303.555555555562,7,True,-1,False,False,RestTask,True,True,-1
33,307.288888888894,1,True,-1,False,False,RestTask,False,True,-1
33,307.288888888894,10,True,-1,False,False,RestTask,True,True,-1
33,307.288888888894,11,True,-1,False,False,RestTask,True,True,-1
33,307.288888888894,3,False,46,True,False,ExtractTask,True,False,2
33,307.288888888894,5,False,58,True,False,ExtractTask,True,False,3
33,307.288888888894,4,True,-1,False,False,RestTask,True,True,-1
33,307.288888888894,12,False,27,True,False,ParkPodTask,False,False,0
33,307.288888888894,13,True,-1,False,False,RestTask,True,True,-1
33,307.288888888894,14,True,-1,False,False,RestTask,True,True,-1
33,307.288888888894,7,True,-1,False,False,RestTask,True,True,-1
34,313.644444444446,1,True,-1,False,False,RestTask,True,True,-1
34,313.644444444446,10,True,-1,False,False,RestTask,True,True,-1
34,313.644444444446,11,True,-1,False,False,RestTask,True,True,-1
34,313.644444444446,3,False,46,True,False,ExtractTask,True,False,2
34,313.644444444446,5,False,58,True,False,ExtractTask,True,False,3
34,313.644444444446,4,True,-1,False,False,RestTask,True,True,-1
34,313.644444444446,12,True,-1,False,False,ParkPodTask,True,True,-1
34,313.644444444446,13,True,-1,False,False,RestTask,True,True,-1
34,313.644444444446,14,True,-1,False,False,RestTask,True,True,-1
34,313.644444444446,7,True,-1,False,False,RestTask,True,True,-1
35,317.377777777778,1,True,-1,False,False,RestTask,True,True,-1
35,317.377777777778,10,True,-1,False,False,RestTask,True,True,-1
35,317.377777777778,11,True,-1,False,False,RestTask,True,True,-1
35,317.377777777778,3,False,46,True,False,ExtractTask,True,False,2
35,317.377777777778,5,False,58,True,False,ExtractTask,True,False,3
35,317.377777777778,4,True,-1,False,False,RestTask,True,True,-1
35,317.377777777778,12,True,-1,True,False,ExtractTask,False,False,-1
35,317.377777777778,13,True,-1,True,True,RestTask,True,False,-1
35,317.377777777778,14,True,-1,False,False,RestTask,True,True,-1
35,317.377777777778,7,True,-1,False,False,RestTask,True,True,-1
36,327.466666666662,1,True,-1,False,False,RestTask,True,True,-1
36,327.466666666662,10,False,12,True,False,ExtractTask,False,False,2
36,327.466666666662,11,False,38,True,False,ExtractTask,False,False,3
36,327.466666666662,3,False,46,True,False,ExtractTask,True,False,2
36,327.466666666662,5,False,58,True,False,ExtractTask,True,False,3
36,327.466666666662,4,True,-1,False,False,RestTask,True,True,-1
36,327.466666666662,12,False,86,True,False,ExtractTask,False,False,3
36,327.466666666662,13,False,98,True,False,ExtractTask,False,False,2
36,327.466666666662,14,True,-1,False,False,RestTask,True,True,-1
36,327.466666666662,7,True,-1,False,False,RestTask,True,True,-1
37,333.77777777777,1,True,-1,False,False,RestTask,True,True,-1
37,333.77777777777,10,False,12,True,False,ExtractTask,False,False,2
37,333.77777777777,11,False,38,True,False,ExtractTask,True,False,3
37,333.77777777777,3,False,46,True,False,ExtractTask,True,False,2
37,333.77777777777,5,False,58,True,False,ExtractTask,True,False,3
37,333.77777777777,4,True,-1,False,False,RestTask,True,True,-1
37,333.77777777777,12,False,86,True,False,ExtractTask,False,False,3
37,333.77777777777,13,False,98,True,False,ExtractTask,True,False,2
37,333.77777777777,14,True,-1,False,False,RestTask,True,True,-1
37,333.77777777777,7,True,-1,False,False,RestTask,True,True,-1
38,343.866666666654,1,True,-1,False,False,RestTask,True,True,-1
38,343.866666666654,10,False,12,True,False,ExtractTask,False,False,2
38,343.866666666654,11,False,38,True,False,ExtractTask,False,False,3
38,343.866666666654,3,False,46,True,False,ExtractTask,True,False,2
38,343.866666666654,5,False,58,True,False,ExtractTask,True,False,3
38,343.866666666654,4,True,-1,False,False,RestTask,True,True,-1
38,343.866666666654,12,False,86,True,False,ExtractTask,True,False,3
