decision,time,solved,pendingOrders,stationsWithCap,podsPa,podsPb,botsRa,lambda,mu,delta,epsilon,valuedLines,boundLines,valuedOrders,boundOrders,newTrips,boundUnits,objective,solveSec,qmax,rho,unitsFromSunk,unitsFromNew,inboundCoverUnits,splitsDeferred,splitsCommitted
71,529.955555555476,1,86,1,91,3,5,9.73860544314894,16.4338966853138,0.111287758346582,0.00973860544314894,29,3,17,1,1,4,-101.065308419658,0.0650034,0,7.96794990803095,4,0,30,1,0
72,531.333333333255,1,86,1,91,3,5,9.51867076459054,16.1234627236942,0.111111111111111,0.00951867076459054,41,5,23,2,2,6,-126.966741572598,0.1400515,0,7.90049673461015,5,1,30,1,0
73,540.355555555484,1,85,2,89,6,4,9.39481623385868,16.3469802469141,0.11144578313253,0.00939481623385868,47,4,26,2,2,5,-138.700116986074,0.1843108,0,8.09256447867035,4,1,44,0,1
74,550.399999999937,1,84,1,88,3,3,9.59905921846176,16.7023630401235,0.110545454545455,0.00959905921846176,14,1,7,1,1,2,-41.1935630012207,0.1440234,0,8.10794322336091,2,0,13,1,0
75,551.377777777715,1,84,2,88,7,3,9.29151466049387,16.081467681624,0.110151187904968,0.00929151466049387,43,3,24,2,1,6,-127.222865691942,0.1950958,0,8.040733840812,6,0,51,0,0
76,560.444444444389,1,83,1,88,2,3,9.59489839405034,16.7910721895881,0.108938547486034,0.00959489839405034,13,1,6,0,1,2,-40.0096574708442,0.1135303,0,8.31557860817696,2,0,11,0,1
77,570.488888888842,1,84,1,85,2,4,9.64310035842304,16.9209119496857,0.108650519031142,0.00964310035842304,17,2,10,1,2,2,-38.5204226244883,0.1391875,0,8.38138629283497,1,1,9,0,0
78,581.422222222184,1,81,1,85,4,3,9.54430904808322,16.7909140660723,0.10875512995896,0.00954430904808322,33,2,21,1,1,4,-105.212291922255,0.0575099,0,8.24281235970823,4,0,36,0,0
79,600.53333333331,1,85,1,87,3,3,9.76794688786012,17.049507295174,0.107692307692308,0.00976794688786012,23,1,14,1,2,2,-47.9532081003541,0.1135137,0,8.29843275428824,2,0,12,0,1
80,620.57777777777,1,85,1,86,3,3,9.85234818473974,17.3759595258137,0.106719367588933,0.00985234818473974,22,1,13,1,2,1,-44.9032736802073,0.1226055,0,8.16818610187825,1,0,10,0,1
81,640.622222222231,1,86,1,89,2,3,10.0072821422314,17.6914452157304,0.105844155844156,0.0100072821422314,36,2,22,1,3,5,-58.4731738992826,0.1851477,0,8.18777629818929,3,2,9,0,0
82,650.666666666683,1,86,1,90,3,4,9.99714185307425,17.7142338098333,0.104695431472081,0.00999714185307425,34,2,21,1,2,2,-92.5821334412143,0.0935148,0,8.20903518016666,2,0,25,0,0
83,661.466666666692,1,84,1,90,2,4,10.1688354060761,17.8831243348235,0.103726708074534,0.0101688354060761,16,1,8,1,1,3,-45.688041780772,0.1200425,0,8.23191437634732,3,0,12,0,0
84,670.711111111144,1,86,1,92,3,5,10.271601636693,18.1058740714589,0.103321033210332,0.010271601636693,40,2,25,1,3,2,-95.586811904341,0.0865212,0,8.41139031666199,2,0,23,0,0
85,671.511111111144,1,83,1,92,2,5,10.1975396825399,17.8456944444448,0.102040816326531,0.0101975396825399,28,1,17,1,2,1,-54.4491167798348,0.1455321,0,8.36516927083352,1,0,11,0,1
86,691.555555555605,1,84,1,93,1,5,10.3585709658165,18.0001397110909,0.100944510035419,0.0103585709658165,24,1,15,1,2,2,-65.5557426500995,0.1325287,0,8.31824638164048,2,0,8,0,0
87,700.755555555612,1,85,1,94,3,6,10.2900450343256,18.0497511257843,0.10011641443539,0.0102900450343256,38,1,23,1,3,1,-74.958484716993,0.1145225,0,8.27845728325444,1,0,21,0,1
88,701.600000000057,1,82,1,94,1,6,10.1065523063201,17.7679709901434,0.0985193621867882,0.0101065523063201,34,2,20,1,4,3,-57.1642536212452,0.1275361,0,8.22100150290217,2,1,6,0,0
89,741.644444444533,1,85,1,90,2,5,10.5753453453454,18.6327513227514,0.0977653631284916,0.0105753453453454,25,2,16,1,2,4,-79.0297873602413,0.067514,0,8.26664319248828,4,0,14,0,0
90,760.800000000104,1,88,1,90,2,5,10.7369623772105,18.7896841601184,0.0975206611570248,0.0107369623772105,36,1,21,1,2,1,-73.4330010005167,0.0825205,0,8.29337783619019,1,0,19,0,0
91,761.688888888994,1,86,1,90,2,5,10.5526315789474,18.5076923076923,0.0961642355483522,0.0105526315789474,23,2,15,1,2,3,-65.5482320907221,0.0810015,0,8.23972602739726,3,0,10,0,0
92,770.844444444557,1,86,1,90,2,6,10.5667369833602,18.4117386831276,0.096051227321238,0.0105667369833602,34,1,20,1,2,1,-66.536534076898,0.0835794,0,8.26649491895527,1,0,17,0,1
93,780.888888889009,1,86,1,91,2,6,10.5003205128206,18.3363805970151,0.0948637316561845,0.0105003205128206,33,2,19,1,2,2,-55.9569689633678,0.1225493,0,8.24521812080544,1,1,16,0,0
94,790.933333333461,1,86,1,90,3,5,10.3509585583848,18.2663974559732,0.0942812982998454,0.0103509585583848,37,3,23,1,2,5,-68.4742529877041,0.1005268,0,8.22592733116673,3,2,25,0,0
95,791.733333333462,1,85,1,89,2,4,10.1056910569106,18.0144927536232,0.0940343781597573,0.0101056910569106,32,3,19,1,3,3,-41.2174433177492,0.2020503,0,8.17763157894738,1,2,7,0,0
