kind,visit_id,leg_index,source_scope,bot_id,station_queue_wp_id,from_id,to_id,pod_id,station_id,loaded,orientation_bucket,from_x,from_y,to_x,to_y,abs_dx,abs_dy,euclid,manhattan,same_tier,from_storage,to_storage,from_queue,to_queue,from_degree,to_degree,path_found,path_hops,path_distance,path_turns,path_segments,eta_sec
pod_to_station_queue,51,2,initial_bots,0,24,188,24,25,1,1,-1,17.5,7.5,1.5,9.5,16,2,16.124515496597098,18,1,1,0,0,1,4,1,1,24,24,3,4,23.703427124746192
bot_to_pod,52,1,initial_bots,0,16,217,274,26,0,0,0,18.5,9.5,5.5,14.5,13,5,13.928388277184119,18,1,0,1,0,0,3,4,1,18,18,1,2,16.875
pod_to_station_queue,52,2,initial_bots,0,16,274,16,26,0,1,-1,5.5,14.5,1.5,3.5,4,11,11.704699910719626,15,1,1,0,0,1,4,1,1,15,15,2,3,15.583333333333332
bot_to_pod,53,1,initial_bots,0,24,217,274,26,1,0,0,18.5,9.5,5.5,14.5,13,5,13.928388277184119,18,1,0,1,0,0,3,4,1,18,18,1,2,16.875
pod_to_station_queue,53,2,initial_bots,0,24,274,24,26,1,1,-1,5.5,14.5,1.5,9.5,4,5,6.4031242374328485,9,1,1,0,0,1,4,1,1,9,9,2,3,11.583333333333332
bot_to_pod,54,1,initial_bots,0,16,217,223,27,0,0,0,18.5,9.5,10.5,10.5,8,1,8.0622577482985491,9,1,0,1,0,0,3,4,1,9,9,1,2,10.708333333333334
pod_to_station_queue,54,2,initial_bots,0,16,223,16,27,0,1,-1,10.5,10.5,1.5,3.5,9,7,11.401754250991379,16,1,1,0,0,1,4,1,1,16,16,3,4,18.208333333333336
bot_to_pod,55,1,initial_bots,0,24,217,223,27,1,0,0,18.5,9.5,10.5,10.5,8,1,8.0622577482985491,9,1,0,1,0,0,3,4,1,9,9,1,2,10.708333333333334
pod_to_station_queue,55,2,initial_bots,0,24,223,24,27,1,1,-1,10.5,10.5,1.5,9.5,9,1,9.0553851381374173,10,1,1,0,0,1,4,1,1,10,10,1,2,10.125
bot_to_pod,56,1,initial_bots,0,16,217,190,28,0,0,0,18.5,9.5,5.5,8.5,13,1,13.038404810405298,14,1,0,1,0,0,3,4,1,14,14,1,2,14.041666666666668
pod_to_station_queue,56,2,initial_bots,0,16,190,16,28,0,1,-1,5.5,8.5,1.5,3.5,4,5,6.4031242374328485,9,1,1,0,0,1,4,1,1,9,9,2,3,11.583333333333332
bot_to_pod,57,1,initial_bots,0,24,217,190,28,1,0,0,18.5,9.5,5.5,8.5,13,1,13.038404810405298,14,1,0,1,0,0,3,4,1,14,14,1,2,14.041666666666668
pod_to_station_queue,57,2,initial_bots,0,24,190,24,28,1,1,-1,5.5,8.5,1.5,9.5,4,1,4.1231056256176606,5,1,1,0,0,1,4,1,1,5,5,1,2,6.791666666666667
bot_to_pod,58,1,initial_bots,0,16,217,103,29,0,0,0,18.5,9.5,16.5,1.5,2,8,8.2462112512353212,10,1,0,1,0,0,3,4,1,10,10,1,2,10.911760458079524
pod_to_station_queue,58,2,initial_bots,0,16,103,16,29,0,1,-1,16.5,1.5,1.5,3.5,15,2,15.132745950421556,17,1,1,0,0,1,4,1,1,25,25,3,4,24.375
bot_to_pod,59,1,initial_bots,0,24,217,103,29,1,0,0,18.5,9.5,16.5,1.5,2,8,8.2462112512353212,10,1,0,1,0,0,3,4,1,10,10,1,2,10.911760458079524
pod_to_station_queue,59,2,initial_bots,0,24,103,24,29,1,1,-1,16.5,1.5,1.5,9.5,15,8,17,23,1,1,0,0,1,4,1,1,31,31,3,4,28.375
bot_to_pod,60,1,initial_bots,0,16,217,114,30,0,0,0,18.5,9.5,13.5,2.5,5,7,8.6023252670426267,12,1,0,1,0,0,3,4,1,12,12,1,2,12.25
pod_to_station_queue,60,2,initial_bots,0,16,114,16,30,0,1,-1,13.5,2.5,1.5,3.5,12,1,12.041594578792296,13,1,1,0,0,1,4,1,1,13,13,1,2,12.125
bot_to_pod,61,1,initial_bots,0,24,217,114,30,1,0,0,18.5,9.5,13.5,2.5,5,7,8.6023252670426267,12,1,0,1,0,0,3,4,1,12,12,1,2,12.25
pod_to_station_queue,61,2,initial_bots,0,24,114,24,30,1,1,-1,13.5,2.5,1.5,9.5,12,7,13.892443989449804,19,1,1,0,0,1,4,1,1,19,19,3,4,20.375
