#TimeStamp;PodsHandledAtIStations;PodsHandledAtOStations;ActiveIStations;ActiveOStations;IStationIdleTimes;OStationIdleTimes;IStationActiveTimes;OStationActiveTimes;IStationRequests;OStationRequests;IStationBundleBacklog;OStationItemBacklog;IStationAssignedBots;OStationAssignedBots;IStationPodsHandled;OStationPodsHandled;IStationBundlesStored;OStationItemsPicked
3720;61;64;2;2;0/3430.36,1/3121.02;0/63.56,1/73.51;0/3720,1/3720;0/3720,1/3720;0/0,1/1;0/0,1/0;0/0,1/2;0/12,1/8;0/3,1/2;0/5,1/5;0/21,1/40;0/33,1/31;0/29,1/60;0/366,1/365
3780;62;66;2;2;0/3490.36,1/3171.02;0/63.96,1/73.96;0/3780,1/3780;0/3780,1/3780;0/0,1/1;0/0,1/0;0/0,1/1;0/11,1/10;0/3,1/2;0/5,1/5;0/21,1/41;0/34,1/32;0/29,1/61;0/372,1/371
3840;62;66;2;2;0/3550.36,1/3231.02;0/64.31,1/74.36;0/3840,1/3840;0/3840,1/3840;0/0,1/1;0/0,1/0;0/0,1/1;0/8,1/9;0/3,1/2;0/5,1/5;0/21,1/41;0/34,1/32;0/29,1/61;0/378,1/377
3900;62;68;2;2;0/3610.36,1/3291.02;0/64.76,1/74.8;0/3900,1/3900;0/3900,1/3900;0/0,1/1;0/0,1/0;0/0,1/1;0/9,1/8;0/3,1/2;0/5,1/5;0/21,1/41;0/35,1/33;0/29,1/61;0/384,1/383
3960;63;69;2;2;0/3670.36,1/3341.02;0/65.16,1/75.24;0/3960,1/3960;0/3960,1/3960;0/0,1/0;0/0,1/0;0/0,1/0;0/10,1/10;0/3,1/2;0/5,1/5;0/21,1/42;0/35,1/34;0/29,1/62;0/390,1/389
4020;63;69;2;2;0/3730.36,1/3401.02;0/65.56,1/75.64;0/4020,1/4020;0/4020,1/4020;0/0,1/0;0/0,1/0;0/0,1/0;0/8,1/9;0/3,1/2;0/5,1/5;0/21,1/42;0/35,1/34;0/29,1/62;0/396,1/395
4080;63;71;2;2;0/3790.36,1/3461.02;0/66,1/76.04;0/4080,1/4080;0/4080,1/4080;0/0,1/0;0/0,1/0;0/0,1/0;0/14,1/7;0/3,1/2;0/5,1/5;0/21,1/42;0/36,1/35;0/29,1/62;0/402,1/401
4140;63;72;2;2;0/3850.36,1/3521.02;0/66.22,1/76.36;0/4140,1/4140;0/4140,1/4140;0/0,1/0;0/0,1/0;0/0,1/0;0/13,1/9;0/3,1/2;0/5,1/5;0/21,1/42;0/36,1/36;0/29,1/62;0/408,1/407
4200;63;72;2;2;0/3910.36,1/3581.02;0/66.27,1/76.53;0/4200,1/4200;0/4200,1/4200;0/0,1/0;0/0,1/0;0/0,1/0;0/9,1/10;0/3,1/2;0/5,1/5;0/21,1/42;0/36,1/36;0/29,1/62;0/414,1/413
4260;63;74;2;2;0/3970.36,1/3641.02;0/66.4,1/76.62;0/4260,1/4260;0/4260,1/4260;0/0,1/0;0/0,1/0;0/0,1/0;0/8,1/8;0/3,1/2;0/5,1/5;0/21,1/42;0/37,1/37;0/29,1/62;0/420,1/419
4320;63;74;2;2;0/4030.36,1/3701.02;0/66.58,1/76.8;0/4320,1/4320;0/4320,1/4320;0/7,1/14;0/0,1/0;0/14,1/19;0/10,1/6;0/3,1/2;0/5,1/5;0/21,1/42;0/37,1/37;0/29,1/62;0/426,1/425
4380;66;76;2;2;0/4060.49,1/3726.53;0/66.71,1/77.02;0/4380,1/4380;0/4380,1/4380;0/7,1/11;0/0,1/0;0/11,1/15;0/8,1/8;0/3,1/2;0/5,1/5;0/22,1/44;0/38,1/38;0/32,1/66;0/432,1/431
4440;70;78;2;2;0/4073.2,1/3748.09;0/66.84,1/80.36;0/4440,1/4440;0/4440,1/4440;0/4,1/9;0/0,1/0;0/7,1/11;0/8,1/14;0/3,1/2;0/5,1/5;0/25,1/45;0/39,1/39;0/37,1/70;0/438,1/436
4500;74;78;2;2;0/4090.89,1/3770.8;0/66.98,1/80.4;0/4500,1/4500;0/4500,1/4500;0/2,1/7;0/0,1/0;0/3,1/7;0/5,1/10;0/3,1/2;0/5,1/5;0/27,1/47;0/39,1/39;0/41,1/74;0/444,1/442
4560;78;80;2;2;0/4127.78,1/3801.64;0/67.24,1/80.53;0/4560,1/4560;0/4560,1/4560;0/0,1/3;0/0,1/0;0/0,1/5;0/16,1/10;0/3,1/2;0/5,1/5;0/30,1/48;0/40,1/40;0/44,1/76;0/450,1/448
4620;80;81;2;2;0/4181.02,1/3831.78;0/67.33,1/80.67;0/4620,1/4620;0/4620,1/4620;0/0,1/1;0/0,1/0;0/0,1/2;0/17,1/10;0/3,1/2;0/5,1/5;0/30,1/50;0/40,1/41;0/44,1/79;0/456,1/454
4680;82;82;2;2;0/4241.02,1/3881.78;0/67.33,1/80.8;0/4680,1/4680;0/4680,1/4680;0/0,1/0;0/0,1/0;0/1,1/0;0/11,1/8;0/3,1/2;0/5,1/5;0/30,1/52;0/41,1/41;0/44,1/81;0/462,1/460
4740;83;83;2;2;0/4291.07,1/3931.87;0/67.47,1/80.98;0/4740,1/4740;0/4740,1/4740;0/0,1/0;0/0,1/0;0/0,1/1;0/8,1/10;0/3,1/2;0/5,1/5;0/31,1/52;0/41,1/42;0/45,1/81;0/468,1/466
4800;84;83;2;2;0/4351.07,1/3981.91;0/67.6,1/81.11;0/4800,1/4800;0/4800,1/4800;0/1,1/0;0/0,1/0;0/1,1/0;0/8,1/9;0/3,1/2;0/5,1/5;0/31,1/53;0/41,1/42;0/45,1/82;0/474,1/472
4860;84;85;2;2;0/4411.07,1/4041.91;0/67.78,1/81.2;0/4860,1/4860;0/4860,1/4860;0/0,1/0;0/0,1/0;0/1,1/0;0/8,1/5;0/3,1/2;0/5,1/5;0/31,1/53;0/42,1/43;0/45,1/82;0/480,1/478
