decision,time,pendingOrders,stationsWithCap,podsInModel,dispatched,children,fastPath,units,decisionSec,lambda,mu,delta,rho,closedLines,valuedNotBoundLines,completedOrders
193,1917.95555555658,68,1,95,1,0,1,3,0.0029972,16.0602310926883,22.0401043718808,1,11.2902986973122,2,0,1
194,1924.2666666677,68,1,94,1,0,1,1,0.0040003,16.0011013770181,22.0120971324058,1,11.3051259728932,1,0,1
195,1928.00000000103,67,1,94,0,0,1,3,0.0020001,15.9801995234379,21.9517477664068,1,11.3030679556024,1,0,1
196,1938.04444444549,67,1,94,0,0,1,2,0.0010004,16.0320132115258,21.9915573896323,1,11.3217990873848,1,0,1
197,1964.31111111217,68,1,95,0,0,1,1,0.0009997,16.3168726235742,22.3507161458334,1,11.4131316489362,1,0,1
198,1968.08888888995,67,1,95,0,0,1,2,0.0009996,16.2825915404041,22.2725604490501,1,11.4021330680814,2,0,1
199,1994.35555555664,69,1,96,1,0,1,2,0.0022792,16.262421679198,22.2979596219931,1,11.3240946771379,1,0,1
200,2008.13333333443,69,1,95,1,0,1,3,0.0020001,16.3479165221714,22.3840703149731,1,11.3373862634279,2,0,1
201,2014.4000000011,68,1,94,0,0,1,1,0.0010017,16.302693102024,22.3746145124717,1,11.3612032239494,1,0,1
202,2018.17777777888,68,1,95,0,0,1,1,0.0009987,16.3150461687793,22.3607231754843,1,11.3825903503111,1,0,1
203,2024.44444444555,67,1,95,0,0,1,2,0.0020011,16.3504026012483,22.3785813380721,1,11.4199976931399,1,0,1
204,2044.48888889001,68,1,94,0,0,1,1,0.0009958,16.6109415849674,22.7044025683976,1,11.5259594671202,1,0,1
205,2054.57777777888,68,1,95,1,0,1,3,0.0009993,16.6535320710667,22.732071277006,1,11.5391224756376,2,0,1
206,2064.66666666772,68,1,95,0,0,1,2,0,16.6203875280582,22.7393361702289,1,11.5419357833737,1,0,1
207,2068.31111111215,67,1,96,0,0,1,1,0.0010001,16.6028053011494,22.6850211045408,1,11.5425044411014,1,0,1
208,2084.80000000097,67,1,97,1,0,1,3,0.0019995,16.7439187412138,22.8476132577153,1,11.5951637282905,2,0,1
209,2094.88888888981,67,1,97,0,0,1,3,0.001001,16.7298475457982,22.880526790577,1,11.6110135952182,2,0,1
210,2098.4888888898,67,1,95,0,0,1,2,0,16.636701265322,22.8044539295389,1,11.6002805348771,1,0,1
211,2115.02222222306,67,1,96,0,0,1,2,0.0009996,16.7031183921066,22.8654339154081,1,11.601673365946,1,0,1
212,2118.62222222305,66,1,95,1,0,1,4,0.0010001,16.6696080492299,22.7898506180293,1,11.5909068253859,2,0,1
213,2125.11111111191,66,1,95,0,0,1,4,0.0005036,16.6381115849032,22.7974125081607,1,11.622210298278,2,0,1
214,2128.71111111189,65,1,94,0,0,1,3,0.0009998,16.5718004339268,22.7564915049617,1,11.628622798379,1,0,1
215,2148.84444444514,66,1,95,0,0,1,2,0.0010002,16.6578848379628,22.845099206349,1,11.6161521388215,1,0,1
216,2158.93333333398,66,1,95,0,0,1,1,0.0009997,16.6754213256651,22.8397950858636,1,11.6125223207644,1,0,1
217,2169.02222222283,66,1,96,1,0,1,4,0.001998,16.6491105767034,22.774726732283,1,11.5785181468681,2,0,1
218,2185.42222222276,66,1,95,1,0,1,5,0.0010024,16.6465955574579,22.8206849895667,1,11.573347387566,3,0,1
219,2189.15555555607,66,1,95,0,0,1,1,0.0009977,16.5042680960917,22.7512106932105,1,11.5647484283778,1,0,1
220,2195.5111111116,64,1,95,0,0,1,1,0,16.5091933600266,22.7289359747343,1,11.5799081387865,1,0,1
221,2215.64444444485,65,1,95,0,0,1,2,0.001,16.6766574307893,22.9304039673352,1,11.6266837017474,2,0,1
222,2229.37777777812,65,1,95,0,0,1,3,0.0009994,16.6853701246788,22.9904408630366,1,11.6291973596246,1,0,1
223,2255.8666666669,66,1,96,0,0,1,1,0.0009932,16.856394560185,23.196873247961,1,11.6518856406809,1,0,1
224,2259.55555555577,66,1,96,0,0,1,1,0,16.8328553868789,23.135568362788,1,11.6475620033346,1,0,1
225,2265.95555555574,67,1,97,0,0,1,1,0.000998,16.7981706447756,23.0593069760101,1,11.6354301255097,1,0,1
226,2279.68888888902,67,1,97,1,0,1,1,0.0020003,16.7872524752474,23.0160067873301,1,11.5866457858769,1,0,1
227,2289.77777777786,67,1,97,0,0,1,1,0.0015351,16.7797453703703,22.9776693360026,1,11.5669900058789,1,0,1
228,2306.17777777779,68,1,97,1,0,1,2,0.0019996,16.7855079690344,22.9577575361233,1,11.5305854291791,1,0,1
229,2329.99999999991,69,1,95,1,0,1,2,0.0020298,16.9293975555756,23.1267663035988,1,11.5376295144903,1,0,1
230,2340.08888888876,69,1,95,0,0,1,3,0.0010003,17.0365275013066,23.2453953017828,1,11.5969267026633,2,0,1
231,2356.44444444424,68,1,93,0,0,1,3,0.0010301,17.1442407041416,23.4405768919458,1,11.6686572193387,2,0,1
232,2366.53333333309,68,1,93,0,0,1,1,0.0010012,17.0868146237744,23.409688757682,1,11.6535073420917,1,0,1
