decision,time,solved,pendingOrders,stationsWithCap,podsInModel,xps,children,fastPath,units,sumUs,objective,solveSec,partialOrders,partialOnlyNewTrips,odCount,odFired,sunkOrdersStar,sunkItemsStar,sunkUnitsFinal,newTripsFinal,solve1Sec,solve2Sec,icWhole,icPackOcc,icPackBudget,icProcUnits,icEpSum,icShortfall,icSgOpen,icGateForegone
84,705.20000000006,1,100,1,89,2,0,1,3,0,-84.475,0.1095146,0,0,0,0,0,0,1,1,0,0.1095146,0,17,-1,1,0,0,1,0
85,708.266666666729,1,100,1,89,2,0,1,1,0,-70.044776119403,0.0039696,0,0,0,0,0,0,1,0,0,0.0039696,0,17,-1,1,0,0,0,0
86,715.244444444512,1,100,1,89,2,0,1,1,0,-70.0241935483871,0.0039997,0,0,0,0,0,0,1,0,0,0.0039997,0,16,-1,1,0,0,1,0
87,718.311111111181,1,100,1,89,2,0,1,1,0,-70.0378787878788,0.0040384,0,0,0,0,0,0,1,0,0,0.0040384,0,16,-1,1,0,0,0,0
88,728.355555555634,1,100,1,89,2,0,1,1,0,-69.0548387096774,0.0039669,0,0,0,0,0,0,1,0,0,0.0039669,0,16,-1,0,0,0,0,0
89,735.288888888973,1,100,1,89,2,0,1,1,0,-70.1029411764706,0.0030015,0,0,0,0,0,0,1,0,0,0.0030015,0,16,-1,1,0,0,0,0
90,745.333333333425,1,100,1,89,2,0,1,1,0,-69.1590909090909,0.0030014,0,0,0,0,0,0,1,0,0,0.0030014,0,16,-1,0,0,0,0,0
91,755.377777777878,1,100,1,89,2,0,1,2,0,-68.2857142857143,0.0039978,0,0,0,0,0,0,2,0,0,0.0039978,0,16,-1,0,0,0,0,0
92,765.42222222233,1,100,1,89,2,1,0,1,0,-30.0909090909091,0.0030034,1,0,0,0,0,0,1,0,0,0.0030034,0,16,-1,1,0,0,0,0
93,768.40000000011,1,100,1,89,2,0,1,1,0,-69.051948051948,0.0050002,0,0,0,0,0,0,1,0,0,0.0050002,0,17,-1,0,0,0,0,0
94,778.444444444563,1,100,1,89,2,0,1,1,0,-69.0490196078431,0.0040024,0,0,0,0,0,0,1,0,0,0.0040024,0,17,-1,0,0,0,0,0
95,785.46666666679,1,100,1,89,2,1,0,1,0,-30.0135135135135,0.0019994,1,0,0,0,0,0,1,0,0,0.0019994,0,17,-1,1,0,0,0,0
96,788.488888889015,1,100,1,89,2,0,1,1,0,-69.0460526315789,0.0050017,0,0,0,0,0,0,1,0,0,0.0050017,0,18,-1,0,0,0,0,0
97,795.511111111243,1,100,1,89,2,1,0,1,0,-30.0245901639344,0.002,1,0,0,0,0,0,1,0,0,0.002,0,18,-1,1,0,0,0,0
98,798.533333333467,1,100,1,88,2,1,0,2,0,-85.4478082623778,0.1380246,0,0,0,0,0,0,1,1,0,0.1380246,0,19,-1,1,0,0,1,0
99,805.555555555695,1,100,1,90,2,1,0,1,0,-29.1052631578947,0.0029692,1,0,0,0,0,0,1,0,0,0.0029692,0,19,-1,0,0,0,0,0
100,808.57777777792,1,100,1,90,2,0,1,2,0,-70.08,0.0039735,0,0,0,0,0,0,2,0,0,0.0039735,0,20,-1,2,0,0,1,0
101,815.600000000148,1,100,1,90,2,1,0,1,0,-29.0833333333333,0.0020011,1,0,0,0,0,0,1,0,0,0.0020011,0,20,-1,0,0,0,0,0
102,818.622222222372,1,100,1,90,2,0,1,2,0,-70.05,0.0020003,0,0,0,0,0,0,2,0,0,0.0020003,0,21,-1,2,0,0,1,0
103,825.6444444446,1,100,1,88,2,0,1,5,0,-78.332957957958,0.1532045,0,0,0,0,0,0,0,1,0,0.1532045,0,21,-1,0,0,0,1,0
