decision,time,solved,pendingOrders,stationsWithCap,podsPa,podsPb,botsRa,lambda,mu,delta,epsilon,valuedLines,boundLines,valuedOrders,boundOrders,newTrips,boundUnits,objective,solveSec
1067,11915.7333332956,1,91,1,91,4,3,27.6756356388712,42.0159061171086,0.932994062765055,0.0276756356388712,39,1,15,1,3,1,-1544.73323258101,0.1475213
1068,11926.7111110733,1,92,1,91,3,3,27.6740292887657,41.9994091558915,0.930684699915469,0.0276740292887657,30,1,15,1,3,1,-1291.85409124817,0.1195404
1069,11935.8666666287,1,92,1,90,3,3,27.668909743144,41.9776113537023,0.929957805907173,0.027668909743144,35,2,12,1,3,2,-1301.90256321539,0.1391006
1070,11946.8444444063,1,91,1,89,2,2,27.6589727629927,41.9756034788666,0.929957805907173,0.0276589727629927,20,2,12,1,2,5,-929.812982347606,0.163514
1071,11955.9999999617,1,85,1,88,5,0,27.6551863155145,41.982897700874,0.929957805907173,0.0276551863155145,27,1,7,1,0,1,-972.591745878063,0.0059997
1072,11966.0888888505,1,85,1,89,4,1,27.6675002408164,41.9875931388952,0.930016863406408,0.0276675002408164,28,1,8,1,1,1,-1012.77047698211,0.110578
1073,11966.9777777393,1,90,1,89,4,1,27.6531998531222,41.9519275820537,0.930075821398484,0.0276531998531222,23,1,13,1,1,1,-1078.68505918573,0.1810211
1074,11987.1111110724,1,91,1,89,5,1,27.693623525719,41.9992964970943,0.93013468013468,0.027693623525719,28,2,14,1,1,4,-1246.0711379708,0.2000299
1075,11996.2666666278,1,82,1,88,4,0,27.6868157000795,42.0020047329347,0.930976430976431,0.0276868157000795,21,1,5,1,0,2,-741.67115721615,0.0099988
1076,12007.2444444054,1,91,1,88,6,0,27.6931705613168,41.997716833748,0.930193439865433,0.0276931705613168,26,1,14,1,0,2,-1221.60442231149,0.0120045
1077,12026.4444444051,1,83,1,86,3,0,27.7305084505582,42.0404209746072,0.930193439865433,0.0277305084505582,15,1,2,1,0,1,-470.030702361168,0.0060036
1078,12027.3777777385,1,91,1,86,5,0,27.7155816178644,42.0039057334819,0.929471032745592,0.0277155816178644,24,1,13,1,0,2,-1130.77097841048,0.0100013
1079,12037.4666666272,1,90,1,87,5,2,27.727906354725,42.0087194239384,0.929471032745592,0.027727906354725,38,1,16,1,2,1,-1540.02724404411,0.1605307
1080,12067.6444444045,1,92,1,89,4,2,27.7809272489596,42.0751834206627,0.930310663308144,0.0277809272489596,35,1,15,1,2,1,-1425.61213386734,0.1075148
1081,12086.7555555154,1,85,1,90,2,2,27.797502769086,42.0864417530014,0.929589270746018,0.027797502769086,29,1,9,1,2,1,-1035.4238687795,0.1420258
1082,12106.8888888484,1,85,1,91,2,3,27.8415210576661,42.1392460882471,0.92964824120603,0.0278415210576661,35,3,11,1,3,5,-1264.80005166372,0.1855212
1083,12116.9777777372,1,91,1,91,3,2,27.8225377185949,42.1504726016974,0.92809364548495,0.0278225377185949,34,2,14,1,2,3,-1362.73508539032,0.1525151
1084,12117.9111110705,1,92,1,89,3,1,27.790882539121,42.1155266278184,0.927378964941569,0.027790882539121,26,1,8,1,1,1,-949.650571592574,0.1452145
1085,12127.0666666259,1,90,1,91,4,3,27.812945701311,42.1351376053613,0.92743953294412,0.027812945701311,42,2,21,1,3,3,-1830.1933295111,0.2520224
1086,12127.9999999592,1,90,1,89,3,1,27.781582250709,42.10060585777,0.925956738768719,0.027781582250709,24,1,7,1,1,1,-866.47450376235,0.1105179
1087,12137.1555555146,1,89,1,88,6,0,27.7863397689305,42.0940315652517,0.926788685524126,0.0277863397689305,33,1,15,1,0,2,-1440.17384449167,0.0129982
1088,12148.1333332923,1,90,1,88,3,0,27.8133553081522,42.1211871253267,0.927620632279534,0.0278133553081522,20,1,4,1,0,1,-677.384404987974,0.0061042
1089,12157.2888888477,1,89,1,89,6,1,27.8223002052394,42.1209847487582,0.928452579034942,0.0278223002052394,39,1,18,1,1,2,-1684.42773966858,0.2710282
1090,12167.3777777364,1,89,1,89,6,1,27.8236712419857,42.1093373787059,0.927680798004987,0.0278236712419857,38,1,17,1,1,2,-1618.03800023437,0.2040445
1091,12168.2666666253,1,89,1,89,3,1,27.8093502381894,42.0739738023613,0.927740863787375,0.0278093502381894,28,2,7,1,1,3,-976.775207014606,0.1335249
1092,12187.5111110695,1,88,1,89,5,1,27.8216061860253,42.1054959520306,0.927800829875519,0.0278216061860253,31,1,16,1,1,1,-1396.32491427938,0.1630633
1093,12188.3999999583,1,87,1,89,2,1,27.8064012047971,42.1091190658853,0.928630705394191,0.0278064012047971,22,1,7,1,1,1,-806.825689592951,0.257533
1094,12198.4888888471,1,86,1,91,2,3,27.8106828752481,42.1019141709497,0.927860696517413,0.0278106828752481,35,3,11,1,3,3,-1262.00657558314,0.1315178
1095,12208.5777777358,1,86,1,88,5,0,27.7752254595556,42.0876982346038,0.927212572373863,0.0277752254595556,32,2,10,1,0,2,-1221.51803351181,0.0120028
1096,12218.6666666246,1,86,1,88,5,0,27.7615791935092,42.0798721872961,0.928866832092639,0.0277615791935092,31,1,9,1,0,2,-1156.19405870792,0.0095091
